INDEX:10881:<int>,timestamp:10881:<long>,accel_lon:10881:<double>,accel_trans:10881:<double>,accel_down:10881:<double>,speed:10881:<double>
5390,1646666728601362,-0.1318182,0.01974546,0.2247523,0.2213807
5391,1646666728651381,0.2510046,-0.06655966,-0.1804839,0.2246902
5392,1646666728701376,-0.3245742,0.01319857,0.3693144,0.2171119
5393,1646666728751417,-0.3360068,-0.01061539,0.0631545,0.1934531
5394,1646666728801437,-0.5973337,-0.02643699,0.2843443,0.1658591
5395,1646666728851392,-0.6553361,0.09587343,0.1182986,0.1338889
5396,1646666728901370,-0.820918,-0.03027796,0.09472145,0.1025051
5397,1646666728951382,-0.7280942,0.06339107,-0.007229348,0.07251856
5398,1646666729001427,-0.7935409,-0.03047115,-0.06440185,0.05706654
5399,1646666729051415,-0.6464244,0.06481034,-0.1475549,0.06359377
5400,1646666729101429,-0.7888975,-0.02024639,-0.03097264,0.08667007
5401,1646666729151468,-0.7148231,0.01917206,-0.05073372,0.1172519
5402,1646666729201470,-0.9171644,-0.01168181,0.245727,0.1552599
5403,1646666729251428,-0.9862192,-0.007705333,-0.04051723,0.1999013
5404,1646666729301395,-1.188762,0.07068059,0.121599,0.2592963
5405,1646666729351411,-1.493713,0.06952129,0.2197729,0.3290029
5406,1646666729401383,-1.581461,0.003268447,0.1350404,0.407343
5407,1646666729451684,-1.815325,0.03499235,0.07513802,0.4929442
5408,1646666729501433,-1.844767,0.04031585,-0.04559242,0.5842842
5409,1646666729551440,-2.070332,-0.01435281,0.1819342,0.682184
5410,1646666729601443,-2.302416,-0.02398348,0.1424357,0.7905939
5411,1646666729651450,-2.295939,-0.02809682,0.07463709,0.9064536
5412,1646666729701391,-2.511887,0.03773179,0.1078002,1.027706
5413,1646666729751426,-2.495404,-0.06858264,0.03710558,1.151498
5414,1646666729801502,-2.537398,0.03903233,0.1597252,1.277698
5415,1646666729851409,-2.539318,0.0191987,0.03946088,1.405819
5416,1646666729901440,-2.701731,-0.1160171,0.1128693,1.535684
5417,1646666729951406,-2.717655,-0.02201282,0.03042788,1.666191
5418,1646666730001453,-2.476914,-0.1597096,0.09545352,1.793617
5419,1646666730051512,-2.55645,0.04383106,0.2161179,1.92168
5420,1646666730101405,-2.374572,0.0540233,0.1034284,2.047194
5421,1646666730151493,-2.365571,0.008584793,0.2909775,2.173748
5422,1646666730201480,-2.438774,-0.02233007,0.2130101,2.298913
5423,1646666730251440,-2.396474,-0.0139811,0.1022959,2.420082
5424,1646666730301423,-2.351163,-0.01162062,0.07949931,2.538311
5425,1646666730351444,-2.289798,-0.02846807,-0.02702237,2.655395
5426,1646666730401426,-2.358733,0.07658079,0.2682744,2.774568
5427,1646666730451752,-2.296376,0.2047603,0.434755,2.89576
5428,1646666730501383,-2.600672,0.0002198026,0.3002405,3.023592
5429,1646666730551421,-2.691514,-0.1861865,0.3012342,3.158545
5430,1646666730601469,-3.081257,-0.02044719,0.05101637,3.302122
5431,1646666730651467,-2.860761,-0.1832486,0.3218722,3.447919
5432,1646666730701465,-3.100248,0.001540352,0.0009538661,3.598932
5433,1646666730751508,-3.066956,0.1393458,0.186354,3.748413
5434,1646666730801512,-2.910514,-0.08282086,0.2439634,3.897952
5435,1646666730851468,-2.982079,-0.03172981,0.02647137,4.047815
5436,1646666730901489,-2.952229,0.1185035,0.479339,4.198085
5437,1646666730951430,-2.759553,-0.005489006,-0.06451087,4.340949
5438,1646666731001506,-2.61734,-0.00495656,0.1964813,4.479558
